"ID" "height" "age" "sex" "GIparasites" "sickGIparasites" "malaria"
72 36.4111011457347 24 "Female" 10 "infected" "Oui"
73 48.4865659906677 25 "Male" 7 "infected" "Non"
74 10.8531112247933 25 "Female" 76 "infected" "Oui"
75 47.7446399238265 25 "Female" 0 "not infected" "Non"
76 45.0311902583453 26 "Female" 23 "infected" "Non"
77 40.0061802644188 26 "Male" 49 "infected" "Oui"
78 31.7227183842747 26 "Male" 69 "infected" "Oui"
79 48.1738177947274 27 "Male" 19 "infected" "Non"
80 65.2982503532694 27 "Male" 0 "not infected" "Non"
81 49.8393032419811 27 "Female" 5 "infected" "Oui"
82 41.1977752492727 28 "Female" 4 "infected" "Oui"
83 40.5013860524156 28 "Male" 33 "infected" "Non"
84 57.5651064233273 28 "Male" 14 "infected" "Non"
85 48.0597097500877 29 "Male" 2 "infected" "Non"
86 47.1613988018401 29 "Female" 17 "infected" "Oui"
87 53.3711862087681 29 "Female" 4 "infected" "Oui"
88 59.6740852472414 30 "Female" 3 "infected" "Non"
89 59.5606639146723 30 "Male" 14 "infected" "Non"
90 60.6690761403565 30 "Male" 0 "not infected" "Oui"
91 59.4990321480256 31 "Male" 8 "infected" "Non"
92 53.8072102833176 31 "Female" 0 "not infected" "Non"
93 43.2314499247043 31 "Female" 34 "infected" "Non"
94 50.9978216415318 32 "Female" 24 "infected" "Oui"
95 58.0649010614056 32 "Male" 32 "infected" "Oui"
96 51.4082338641547 32 "Female" 1 "infected" "Oui"
97 58.7841753093509 33 "Male" 27 "infected" "Non"
98 70.6431581299288 33 "Male" 0 "not infected" "Non"
99 69.3764225943312 33 "Male" 1 "infected" "Oui"
100 43.7839353208698 34 "Female" 30 "infected" "Non"
